name,freq,value
runnel,1,PER
visual,1,PER
rail baltica,62,PER
railbaltica,1,PER
kaido simmermanni,1,PER
saluste,1,PER
limbak,1,PER
vaaro,1,PER
henry,2,PER
peter,5,PER
ansip aaviksoo,1,PER
larry,1,PER
maire,1,PER
baruto,4,PER
heino saare,1,PER
anastassia,2,PER
juri,5,PER
jazz,1,PER
tennison,1,PER
sesteri,1,PER
singer,3,PER
indrek leppik,7,PER
sven rondik,3,PER
square,1,PER
mart ummelas,4,PER
ege,1,PER
bart jan,1,PER
riga,1,PER
rainer vakra,35,PER
asko,2,PER
oroks,1,PER
nyman,1,PER
ints,1,PER
brendan,1,PER
raul olle,6,PER
rita,3,PER
enn vatter,1,PER
karl martin,2,PER
vajalik rein,1,PER
eduard bornhöhe,2,PER
björn borg,1,PER
saalomon,2,PER
pipi,2,PER
haap,1,PER
vonnegu,1,PER
widmanni,1,PER
salim salim,1,PER
mamin,1,PER
jürgen ligilt,3,PER
danzig,1,PER
praxis,10,PER
tenzin,1,PER
ly,2,PER
kerakraatiat,1,PER
otto von bismarck,3,PER
bismarck,3,PER
desmond morris,1,PER
petka,1,PER
jaak allik,18,PER
kerry,3,PER
eduard,2,PER
marii,1,PER
atonen,3,PER
lembit,6,PER
olga,3,PER
siret,2,PER
manuela pihlap,1,PER
alan,2,PER
airi värnik,1,PER
ilja antonov,1,PER
cable,1,PER
ülo,1,PER
anvar samost,27,PER
benetton,1,PER
salomon,1,PER
samost,5,PER
gunnar graps,6,PER
graps,1,PER
cliff richard,1,PER
peeter volkonski,5,PER
aalo,1,PER
kubrile,1,PER
aidanni,1,PER
arkadi gaidar,1,PER
veidemann,3,PER
gunnar grapsi,1,PER
marko matvere,4,PER
queen,1,PER
andrei titov,1,PER
illimar,2,PER
andrei tarkovsk,1,PER
kolleeg aino,1,PER
ja rein,1,PER
putin putin,2,PER
unis,1,PER
dessis,1,PER
jane,3,PER
vähi,2,PER
jürisalu,1,PER
selge rein,1,PER
anne ruussaar,5,PER
lauri pihlap,2,PER
wayne,1,PER
stelmach,3,PER
pijpers,1,PER
